Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
3.0,2.0,200.0,120.0,1500000000.0
4.0,4.0,215.0,172.0,2800000000.0
2.0,1.0,78.0,92.0,840000000.0
2.0,1.0,45.0,77.0,700000000.0
4.0,2.0,130.0,120.0,2960000000.0
4.0,2.0,115.0,78.0,1910000000.0
4.0,3.0,225.0,200.0,2700000000.0
2.0,1.0,45.0,108.0,970000000.0
2.0,2.0,60.0,30.0,779000000.0
3.0,2.0,79.0,84.0,1950000000.0
5.0,4.0,175.0,75.0,3700000000.0
4.0,3.0,130.0,45.0,3000000000.0
2.0,2.0,38.0,20.0,403220000.0
5.0,3.0,160.0,96.0,1800000000.0
3.0,2.0,88.0,72.0,2000000000.0
2.0,2.0,41.0,21.0,447750000.0
3.0,2.0,70.0,60.0,1400000000.0
2.0,2.0,63.0,90.0,1480000000.0
2.0,2.0,54.0,45.0,775000000.0
2.0,1.0,40.0,22.0,289900000.0
2.0,2.0,43.0,22.0,460000000.0
3.0,2.0,63.0,40.5,1560000000.0
2.0,2.0,65.0,34.0,600000000.0
4.0,2.0,93.0,75.0,1790000000.0
2.0,2.0,72.0,45.0,1230000000.0
5.0,4.0,313.0,217.0,4900000000.0
5.0,3.0,200.0,117.0,2500000000.0
3.0,3.0,92.0,61.0,2960000000.0
4.0,3.0,142.0,136.0,3200000000.0
4.0,3.0,400.0,237.0,3700000000.0
4.0,3.0,145.0,64.0,1100000000.0
4.0,4.0,100.0,56.0,1750000000.0
3.0,2.0,110.0,75.0,1490000000.0
4.0,4.0,120.0,70.0,1880000000.0
5.0,4.0,156.0,112.0,3430000000.0
4.0,4.0,84.0,54.0,1600000000.0
4.0,4.0,185.0,74.0,2250000000.0
2.0,1.0,60.0,90.0,720000000.0
3.0,2.0,90.0,58.0,1590000000.0
3.0,3.0,80.0,43.0,1180000000.0
5.0,3.0,182.0,130.0,3850000000.0
2.0,2.0,43.0,22.0,510000000.0
4.0,5.0,450.0,100.0,3900000000.0
3.0,2.0,110.0,84.0,2500000000.0
3.0,2.0,100.0,117.0,1500000000.0
3.0,4.0,115.0,39.0,1660000000.0
3.0,3.0,95.0,120.0,1400000000.0
2.0,2.0,43.0,43.0,460000000.0
3.0,3.0,70.0,50.0,1100000000.0
2.0,2.0,90.0,62.5,1280000000.0
3.0,2.0,90.0,120.0,810000000.0
2.0,2.0,58.0,50.0,800000000.0
4.0,5.0,250.0,177.0,3450000000.0
5.0,4.0,140.0,105.0,3100000000.0
4.0,3.0,120.0,92.0,2100000000.0
2.0,2.0,41.0,21.0,469020000.0
3.0,2.0,75.0,70.0,1280000000.0
2.0,2.0,86.0,62.0,1280000000.0
5.0,5.0,240.0,114.0,3350000000.0
3.0,3.0,120.0,128.0,2200000000.0
2.0,2.0,40.0,20.0,451200000.0
2.0,2.0,68.0,24.0,865000000.0
4.0,3.0,295.0,114.0,3350000000.0
4.0,5.0,175.0,60.0,2390000000.0
3.0,2.0,60.0,50.0,760000000.0
3.0,4.0,78.0,51.0,1850000000.0
2.0,2.0,58.0,30.0,900000000.0
3.0,2.0,50.0,56.0,700000000.0
3.0,3.0,95.0,85.0,1900000000.0
2.0,1.0,60.0,90.0,2500000000.0
3.0,3.0,98.0,75.0,2100000000.0
3.0,1.0,90.0,135.0,3250000000.0
5.0,4.0,168.0,98.0,2900000000.0
3.0,2.0,123.0,120.0,2250000000.0
3.0,3.0,91.0,37.0,1280000000.0
3.0,4.0,78.0,51.0,1850000000.0
3.0,3.0,195.0,90.0,3500000000.0
4.0,2.0,100.0,102.0,2300000000.0
2.0,2.0,65.0,45.0,1180000000.0
2.0,2.0,45.0,24.0,695000000.0
